path,domain,min_monet_nn,phash
data\monet_jpg\000c1e3bff.jpg,monet,0.27147066593170166,fc83be39440f346a
data\monet_jpg\011835cfbf.jpg,monet,0.1589130163192749,dea53bccd4332849
data\monet_jpg\0260d15306.jpg,monet,0.2513570189476013,87f4f00f7a0f9c21
data\monet_jpg\049e293b93.jpg,monet,0.27312445640563965,ab9121c1176e937e
data\monet_jpg\05144e306f.jpg,monet,0.16049730777740479,d3818c3c4ece3a75
data\monet_jpg\052a77c020.jpg,monet,0.15175724029541016,b92249cd8778a69d
data\monet_jpg\058f878b7c.jpg,monet,0.22101956605911255,9ae4f7906f86034d
data\monet_jpg\05b493ff42.jpg,monet,0.1883993148803711,a2377d3d76724c08
data\monet_jpg\064487d630.jpg,monet,0.20454895496368408,bedec96df13000c6
data\monet_jpg\066fe4cbaa.jpg,monet,0.2273188829421997,a6a4934ac552bf59
data\monet_jpg\07fcaee35f.jpg,monet,0.26666122674942017,e08fb0634d78739a
data\monet_jpg\09b76b6471.jpg,monet,0.31119340658187866,8ef0fc06d582d4cd
data\monet_jpg\0a5075d42a.jpg,monet,0.1823849081993103,e6695312edf78026
data\monet_jpg\0bd913dbc7.jpg,monet,0.21030360460281372,98c2229f679f1636
data\monet_jpg\0e3b3292da.jpg,monet,0.20582836866378784,d9d4a72968c2d533
data\monet_jpg\106757e5d8.jpg,monet,0.23537957668304443,9ec1c33ee18d26e1
data\monet_jpg\1078363ff0.jpg,monet,0.23010379076004028,8e9d7092ceac98c7
data\monet_jpg\10c555c1b1.jpg,monet,0.31692636013031006,cad4c1e32e9b3817
data\monet_jpg\118da0690c.jpg,monet,0.18993115425109863,9bdec09373ac34c4
data\monet_jpg\11ab570c5e.jpg,monet,0.20267659425735474,85471fc0619e37dc
data\monet_jpg\11be65b3e9.jpg,monet,0.1824803352355957,a6f4988eab94a87c
data\monet_jpg\133b42e498.jpg,monet,0.19714432954788208,c9cb4b1534d5b21d
data\monet_jpg\14162de938.jpg,monet,0.21938031911849976,898cc4cbd6c66766
data\monet_jpg\14ff6e6a99.jpg,monet,0.1772133708000183,c4ce6ed8375ce0d0
data\monet_jpg\158740962c.jpg,monet,0.08247733116149902,8ff57028870f707a
data\monet_jpg\16dabe418c.jpg,monet,0.27620548009872437,ccccb733a1e2c742
data\monet_jpg\17557a29cb.jpg,monet,0.18810534477233887,c3c0feb539e88b12
data\monet_jpg\1814cc6632.jpg,monet,0.21938031911849976,c8c8dbb433bb2a26
data\monet_jpg\184d6c66cd.jpg,monet,0.18508458137512207,c5b68238396f4bc3
data\monet_jpg\1994b8d4a2.jpg,monet,0.26918894052505493,fa30b72286cad83d
data\monet_jpg\19dc36ccb2.jpg,monet,0.10149109363555908,b8fe9e0070c12fb5
data\monet_jpg\1a127acf4d.jpg,monet,0.16028869152069092,dac6d49013f7f40c
data\monet_jpg\1e4e4e63c5.jpg,monet,0.17937976121902466,c3e29e96df08394c
data\monet_jpg\1f22663e72.jpg,monet,0.2019374966621399,c69a9c4967ec18b6
data\monet_jpg\1f9667f2a7.jpg,monet,0.21610993146896362,c1b7961d8973561c
data\monet_jpg\22b1ac6b44.jpg,monet,0.2213367223739624,c69091a0e16ffe9a
data\monet_jpg\23832dead5.jpg,monet,0.238725483417511,fb82a6b9818eb2c9
data\monet_jpg\23b07c3769.jpg,monet,0.2290806770324707,fa0ba8f22c70e786
data\monet_jpg\23d6aeb485.jpg,monet,0.24124383926391602,d5ca94af1f6084f2
data\monet_jpg\23f0fbd77e.jpg,monet,0.18859457969665527,d6a0f92a4689f678
data\monet_jpg\24af733334.jpg,monet,0.15131467580795288,9a9e8c4c631a33f5
data\monet_jpg\252d9a4abc.jpg,monet,0.10149109363555908,f8f19c1667c80a3e
data\monet_jpg\2581464ddc.jpg,monet,0.15062707662582397,eca49e32d25a17e2
data\monet_jpg\25c9904782.jpg,monet,0.17324304580688477,a5e63e9ce016e7c0
data\monet_jpg\26b66eb819.jpg,monet,0.11152184009552002,e4db94661863db8c
data\monet_jpg\2759c1ed37.jpg,monet,0.24886196851730347,d5ad423d2bd53d02
data\monet_jpg\281b73fb5e.jpg,monet,0.18042516708374023,f2f4750a2a28fb89
data\monet_jpg\28deb43a71.jpg,monet,0.29626643657684326,eee1d5429c09b873
data\monet_jpg\295eb5c521.jpg,monet,0.2647709250450134,ebd57d914862ae50
data\monet_jpg\29696b4455.jpg,monet,0.26970916986465454,9f85e07299bc0673
data\monet_jpg\2acfbab228.jpg,monet,0.1799691915512085,c0d07e7797e03037
data\monet_jpg\2c00f5147f.jpg,monet,0.18146681785583496,ed2b1e14279362b5
data\monet_jpg\2cca56415e.jpg,monet,0.19090867042541504,8487c56173b8bc7c
data\monet_jpg\2e0d0e6e19.jpg,monet,0.18845605850219727,c780c93c5ac2b93f
data\monet_jpg\2f20944b6a.jpg,monet,0.17454463243484497,fbd919b826274706
data\monet_jpg\2f90c99e10.jpg,monet,0.184675395488739,e8b0978f9550e077
data\monet_jpg\3283442e33.jpg,monet,0.1823849081993103,cc1d6ec181e6cfa4
data\monet_jpg\32cc820303.jpg,monet,0.18740075826644897,9c9de7b340057f48
data\monet_jpg\32e33792cc.jpg,monet,0.24060052633285522,d5f0b42e68d4a559
data\monet_jpg\3417ace946.jpg,monet,0.21323204040527344,b6c9803ec9b1575c
data\monet_jpg\344d1829bb.jpg,monet,0.15131467580795288,87cad568425b649f
data\monet_jpg\3545597386.jpg,monet,0.18982702493667603,cd91d3126aed7251
data\monet_jpg\369f6d07e8.jpg,monet,0.28262847661972046,caee9210fbb09d62
data\monet_jpg\3843e221cc.jpg,monet,0.16366219520568848,84b891b7c3474e3b
data\monet_jpg\3b262c6726.jpg,monet,0.15649694204330444,d7d0806f503fd730
data\monet_jpg\3c341ff93e.jpg,monet,0.2183854579925537,c2987d4aca1da87d
data\monet_jpg\3d13fe022e.jpg,monet,0.20485079288482666,d8f8a745489e27cc
data\monet_jpg\3deea9f4a4.jpg,monet,0.23470604419708252,8bf5402d97b26971
data\monet_jpg\3eaef3ee43.jpg,monet,0.13921934366226196,dfd09c6f4165d301
data\monet_jpg\40d7d18ad3.jpg,monet,0.12924551963806152,e83347047cfd4e89
data\monet_jpg\417e77e946.jpg,monet,0.13921934366226196,dec1b15e015bce23
data\monet_jpg\4260d1c556.jpg,monet,0.2591254711151123,fe09906ef534b072
data\monet_jpg\429e382095.jpg,monet,0.2707393169403076,aeeb7c68f0e43430
data\monet_jpg\463835bbc6.jpg,monet,0.18582308292388916,c9adb44752c99a6a
data\monet_jpg\4660310c3e.jpg,monet,0.2651956081390381,91dce21d1f40fce8
data\monet_jpg\47a0548067.jpg,monet,0.24880725145339966,d1a8d22d6a976955
data\monet_jpg\488600cb75.jpg,monet,0.23475700616836548,85f07d8e603ac5ce
data\monet_jpg\49337b68f4.jpg,monet,0.19266605377197266,8425479f678af34a
data\monet_jpg\4995c04b1a.jpg,monet,0.1468467116355896,e18fba408d7942db
data\monet_jpg\4ab2583fe2.jpg,monet,0.1658104658126831,a1bd1776f01c568c
data\monet_jpg\4ad8b366c1.jpg,monet,0.16690528392791748,c5f09f603760cc97
data\monet_jpg\4b0adf7c6f.jpg,monet,0.19425958395004272,d1e48b7b6057c61c
data\monet_jpg\4bb4ca7b03.jpg,monet,0.2808840274810791,aafa6507a0e8a7e1
data\monet_jpg\4c0e35882c.jpg,monet,0.15808063745498657,dbda9424b7d3a128
data\monet_jpg\4c74254ad3.jpg,monet,0.19491267204284668,eb8db43572488f31
